game_type,map_type,win_point
2,Erangel_Main,"[[220922.328125, 486030.5625], [219665, 487576.28125]]"
1,Range_Main,"[[141510.984375, 143187.734375], [57793.515625, 113936.6796875], [151873.25, 138620.375], [151954.609375, 138586.59375]]"
4,Savage_Main,"[[184831.328125, 123453.46875], [185990.375, 130301], [187366.5625, 130928.875]]"
4,Savage_Main,"[[205116.5, 196929.953125]]"
2,Erangel_Main,"[[171564.453125, 359088.78125], [171994.859375, 359214.9375]]"
1,Desert_Main,"[[125175.6640625, 610484.4375]]"
4,Desert_Main,"[[358954.1875, 664912.875], [364896.875, 662622.8125], [359856.1875, 662947.875]]"
4,Savage_Main,"[[256797.78125, 82826.734375], [256837.140625, 82689.5078125], [255075.8125, 81497.7109375]]"
2,Savage_Main,"[[279147.59375, 242805.59375], [277408.78125, 245190.890625]]"
4,Erangel_Main,"[[374382.65625, 180229.78125]]"
4,Savage_Main,"[[190469.8125, 221284.921875], [188820.390625, 221378.234375], [190402.3125, 220360.75], [188820.21875, 221298.171875]]"
4,Desert_Main,"[[660477.75, 258790.46875], [662264.875, 261140.6875], [658576.125, 260154.5]]"
4,Savage_Main,"[[285621.6875, 231153.53125], [286326.03125, 230577.515625]]"
2,Savage_Main,"[[103936.1953125, 217292.390625], [104080.5546875, 217442.75]]"
4,Erangel_Main,"[[163703.46875, 314336.875], [163032.96875, 316235.375]]"
4,Erangel_Main,"[[469589.625, 661515.3125], [470329.1875, 664293.875], [471688.78125, 659206.4375], [473354.59375, 659495.0625]]"
4,Erangel_Main,"[[532008.3125, 69083.8359375]]"
2,Savage_Main,"[[321816.21875, 173241.453125]]"
1,Range_Main,[]
4,Savage_Main,"[[217589.875, 183661.28125], [218357.078125, 184516.25], [217336.21875, 184462.140625]]"
4,Savage_Main,"[[281574.84375, 302694], [283712.1875, 301443.625], [282795.875, 299500.90625], [280908.59375, 300460.78125]]"
4,Erangel_Main,"[[363879.9375, 495974.5625]]"
1,Savage_Main,"[[253532.453125, 199923.328125]]"
4,Savage_Main,"[[224247.359375, 124225.0703125], [222411.4375, 127040.796875], [225134.875, 123475.1953125], [222365.171875, 127015.3671875]]"
2,Erangel_Main,"[[288931.5, 388691.9375], [290891.6875, 387650.875]]"
4,Desert_Main,"[[497036.90625, 229771.5625], [496478.625, 230461.65625], [496257, 230926.65625]]"
4,Savage_Main,"[[123731.7265625, 252004.96875], [124042.96875, 252302.4375], [123042.5859375, 252867.640625]]"
1,Range_Main,"[[57749.45703125, 77106.40625], [56113.98046875, 79731.859375], [114980.96875, 144585.546875]]"
4,Desert_Main,"[[456477.78125, 125651.6171875]]"
4,Savage_Main,"[[233754.8125, 96947.546875], [225736.890625, 92939.8046875]]"
1,Range_Main,"[[113093.6953125, 147056.5625]]"
2,Savage_Main,"[[253134.609375, 115035.125], [254392.453125, 114445.765625]]"
4,Desert_Main,"[[585227.75, 423096.125], [586010.125, 422975.375]]"
1,Savage_Main,"[[231240.796875, 364283.3125]]"
2,Erangel_Main,"[[595703.25, 280884.21875]]"
4,Erangel_Main,"[[482308.84375, 93599.8359375], [472170.625, 87668.015625], [468620.625, 92525.4140625], [468770.46875, 92460.609375]]"
2,Savage_Main,"[[108326.078125, 196570.71875], [108887.84375, 196634.15625]]"
2,Savage_Main,"[[116184.390625, 115962.796875], [116180.46875, 115878.9453125]]"
2,Savage_Main,"[[164790.515625, 111189.15625], [164508.171875, 111657.1484375]]"
4,Desert_Main,"[[521063.625, 704413.375]]"
4,Savage_Main,"[[164854.296875, 96332.1015625], [164552.203125, 97463.4765625], [164909.609375, 96426.296875]]"
1,Range_Main,"[[139885.65625, 139481.359375], [150180.6875, 142909], [147601.453125, 138946.171875], [147594.859375, 138322.578125], [149153.609375, 141382.171875]]"
4,Savage_Main,"[[206914.09375, 269863.625]]"
1,Erangel_Main,"[[114621.1875, 279011.46875]]"
4,Savage_Main,"[[191422.328125, 276004.8125], [192015.8125, 276794.6875], [192162.453125, 277847.28125]]"
2,Erangel_Main,"[[381952.1875, 648102.4375], [381102.28125, 646689.5]]"
4,Desert_Main,"[[499776.4375, 482427.4375], [497854.0625, 481626.65625], [498839.34375, 482655.90625]]"
2,Desert_Main,"[[600423.4375, 511801.78125], [599905.1875, 511273.875]]"
4,Erangel_Main,"[[113801.2578125, 350160.15625], [117439.515625, 340968.28125], [114776.484375, 349989.4375]]"
4,Desert_Main,"[[548171.5, 596459.625], [545006.3125, 602355.5], [543418.4375, 599800.75]]"
1,Erangel_Main,"[[452838.46875, 212471.53125]]"
2,Savage_Main,"[[144531.90625, 300703.625], [146049.546875, 300016.5625]]"
4,Savage_Main,"[[159347.71875, 292263.1875], [158949.5625, 293136.5625], [158477.21875, 294045.625]]"
4,Savage_Main,"[[155990.96875, 262672.5625], [156764.640625, 262554.5625], [156592.546875, 262886.375], [155960.578125, 263018.15625]]"
4,Savage_Main,"[[229742.171875, 157134.609375], [231194.8125, 156650.296875]]"
4,Savage_Main,"[[124254.0390625, 276244.5625], [131001.515625, 284668.5], [129046.2265625, 282523.53125]]"
